SubcID,IsRoad,Area,Width,Mode,DisPointID,Partition
482,0,1.3,1.1,0,169,16
483,0,2.1,1.5,0,169,16
484,0,1.9,1.4,0,56,16
485,0,2.1,1.4,0,56,16
486,0,2.2,1.5,0,133,16
487,0,2.0,1.4,0,133,16
488,0,1.8,1.3,0,179,7
489,0,2.0,1.4,0,189,12
490,0,1.6,1.3,0,189,12
491,0,3.7,1.9,0,174,7
492,0,2.3,1.5,0,174,7
493,0,2.5,1.6,0,244,7
494,0,2.0,1.4,0,244,7
495,0,2.0,1.4,0,177,7
496,0,1.4,1.2,0,179,7
497,0,1.3,1.1,0,180,7
498,0,1.3,1.1,0,180,7
499,0,2.0,1.4,0,180,7
500,0,2.2,1.5,0,181,7
501,0,1.5,1.2,0,181,7
502,0,1.6,1.3,0,191,7
503,0,1.7,1.3,0,193,12
504,0,1.5,1.2,0,193,12
505,0,1.9,1.4,0,192,12
506,0,1.6,1.3,0,192,12
507,0,2.2,1.5,0,188,12
508,0,1.4,1.2,0,188,12
509,0,2.3,1.5,0,242,7
510,0,2.0,1.4,0,176,7
511,0,2.7,1.6,0,238,7
512,0,1.6,1.3,0,191,7
513,0,1.6,1.2,0,186,15
514,0,2.5,1.6,0,184,3
515,0,2.6,1.6,0,185,12
516,0,3.3,1.8,0,196,8
517,0,2.5,1.6,0,196,8
518,0,2.9,1.7,0,183,5
519,0,1.4,1.2,0,196,8
520,0,1.2,1.1,0,182,14
521,0,2.3,1.5,0,182,14
522,0,2.1,1.4,0,194,14
523,0,2.8,1.7,0,195,8
524,0,2.2,1.5,0,197,14
525,0,1.9,1.4,0,182,14
526,0,8.1,2.8,0,74,20
527,0,9.3,3.1,0,116,20
528,0,2.2,1.5,0,162,16
529,0,2.0,1.4,0,55,16
530,0,6.2,2.5,0,20,20
531,0,1.9,1.4,0,158,16
532,0,1.5,1.2,0,162,16
533,0,0.9,0.9,0,163,16
534,0,2.2,1.5,0,163,16
535,0,1.8,1.3,0,55,16
536,0,2.3,1.5,0,132,16
537,0,2.7,1.6,0,199,14
538,0,3.4,1.8,0,198,3
539,0,6.6,2.6,0,72,7
540,0,2.8,1.7,0,220,18
541,0,1.7,1.3,0,220,18
542,0,1.9,1.4,0,244,7
543,0,1.6,1.3,0,244,7
544,0,1.5,1.2,0,242,7
545,0,2.7,1.6,0,75,20
546,0,1.8,1.3,0,242,7
547,0,1.5,1.2,0,238,7
548,0,1.9,1.4,0,238,7
549,0,5.0,2.2,0,175,7
550,0,1.2,1.1,0,255,7
551,0,3.2,1.8,0,190,7
552,0,1.1,1.1,0,260,7
553,0,1.2,1.1,0,326,7
554,0,1.8,1.3,0,260,7
555,0,2.0,1.4,0,264,7
556,0,1.4,1.2,0,264,7
557,0,1.6,1.2,0,327,7
558,0,3.0,1.7,0,327,7
559,0,9.8,3.1,0,74,20
560,0,1.5,1.2,0,327,7
561,0,4.5,2.1,0,463,22
562,0,2.2,1.5,0,325,12
563,0,1.7,1.3,0,325,12
564,0,2.7,1.6,0,132,16
565,0,5.9,2.4,0,41,7
566,0,2.0,1.4,0,338,12
567,0,1.8,1.3,0,338,12
568,0,2.0,1.4,0,334,12
569,0,1.8,1.3,0,334,12
570,0,2.5,1.6,0,464,12
571,0,6.6,2.6,0,255,7
572,0,2.6,1.6,0,255,7
573,0,1.1,1.0,0,280,14
574,0,1.3,1.1,0,280,14
575,0,1.0,1.0,0,360,14
576,0,1.3,1.1,0,357,14
577,0,2.6,1.6,0,360,14
578,0,1.2,1.1,0,364,14
579,0,1.8,1.4,0,184,3
580,0,3.0,1.7,0,300,3
581,0,3.3,1.8,0,469,5
582,0,2.0,1.4,0,448,22
583,0,6.7,2.6,0,448,22
584,0,1.9,1.4,0,198,3
585,0,2.2,1.5,0,198,3
586,0,10.1,3.2,0,464,12
587,0,3.5,1.9,0,469,5
588,0,10.5,3.2,0,173,5
589,0,5.3,2.3,0,173,5
590,0,6.3,2.5,0,196,8
591,0,4.9,2.2,0,196,8
592,0,3.2,1.8,0,196,8
593,0,1.8,1.3,0,158,16
594,0,1.7,1.3,0,158,16
595,0,1.7,1.3,0,164,16
596,0,0.8,0.9,0,163,16
597,0,0.8,0.9,0,170,16
598,0,2.1,1.5,0,170,16
599,0,2.0,1.4,0,55,16
600,0,1.7,1.3,0,55,16
601,0,9.2,3.0,0,72,7
602,0,2.0,1.4,0,132,16
603,0,2.3,1.5,0,134,16
