NodeID,X,Y,NodeType,SystemType,SurfaceElev,InvertElev,StrahlerNumber
359,410853.69,4319508.65,Manhole,0,11.70,10.80,1
294,411779.59,4319859.75,Manhole,0,8.00,2.21,1
281,411166.67,4319861.56,Manhole,0,11.30,5.09,2
487,412135.83,4319505.06,Manhole,0,8.30,2.63,2
324,406429.32,4317518.63,Manhole,0,11.20,4.91,4
50,398209.58,4320227.59,Manhole,0,10.00,6.10,1
7,397716.78,4320881.93,Manhole,0,9.30,7.29,1
133,398656.17,4318373.30,Manhole,0,9.80,4.00,3
352,411916.77,4317381.52,Manhole,0,8.00,4.86,2
475,411548.06,4316425.03,Manhole,0,8.00,1.58,2
344,411553.73,4317583.71,Manhole,0,10.10,9.20,1
279,410857.51,4319862.47,Manhole,0,11.30,5.66,2
370,412504.94,4319511.31,Manhole,0,8.80,3.44,2
494,411875.92,4320207.04,Manhole,0,8.00,3.59,1
325,406430.56,4317951.57,Manhole,0,11.70,5.79,3
323,406427.98,4317054.60,Manhole,0,11.70,10.40,3
109,397716.65,4320229.16,Manhole,0,9.30,7.18,1
2,397186.48,4320884.29,Manhole,0,9.40,8.35,1
132,398653.19,4317985.13,Manhole,0,9.80,4.65,2
402,398661.91,4319119.18,Manhole,0,10.00,9.00,1
346,411916.83,4317582.71,Manhole,0,8.00,5.73,1
351,412124.74,4317380.94,Manhole,0,8.30,6.47,2
476,411730.95,4316262.47,Manhole,0,8.00,2.07,2
467,410861.30,4320213.13,Manhole,0,11.30,6.25,2
288,412507.87,4319857.60,Manhole,0,8.30,4.48,2
356,412139.48,4320205.46,Manhole,0,8.30,4.60,1
189,406431.67,4318336.74,Manhole,0,11.70,6.44,3
457,405959.30,4317057.52,Manhole,0,11.20,3.69,2
336,406823.15,4317052.14,Manhole,0,11.70,6.36,2
22,397186.52,4320230.84,Manhole,0,9.40,8.40,1
134,398650.53,4317639.29,Manhole,0,9.30,8.40,1
55,398198.85,4317985.19,Manhole,0,9.30,5.39,2
345,412125.79,4317582.13,Manhole,0,8.30,7.40,1
479,412497.88,4317379.90,Manhole,0,8.80,7.90,1
364,411800.30,4317920.46,Manhole,0,8.00,7.10,1
477,412299.91,4316257.39,Manhole,0,8.30,3.21,2
353,411167.46,4320211.29,Manhole,0,11.30,7.90,1
466,410514.95,4320215.21,Manhole,0,8.00,6.80,1
355,412510.79,4320203.23,Manhole,0,8.30,5.90,1
289,412137.67,4319858.70,Manhole,0,8.30,7.40,1
482,412141.55,4320603.46,Manhole,0,8.00,5.79,1
193,406829.68,4318334.87,Manhole,0,11.70,7.12,2
187,405964.64,4318338.93,Manhole,0,11.70,9.32,1
322,406432.71,4318700.73,Manhole,0,11.70,10.80,1
152,405957.71,4316675.01,Manhole,0,11.20,4.34,2
332,407256.65,4317049.45,Manhole,0,11.70,10.80,1
337,406825.50,4317514.55,Manhole,0,11.20,7.80,1
57,398197.20,4317640.21,Manhole,0,9.30,8.40,1
163,397719.98,4317985.24,Manhole,0,8.70,6.40,1
361,411555.38,4317920.72,Manhole,0,10.10,9.20,1
478,412492.95,4316445.35,Manhole,0,8.30,3.86,2
354,411566.58,4320208.90,Manhole,0,10.10,9.20,1
206,410514.66,4320611.15,Manhole,0,11.80,7.41,1
480,412514.16,4320601.87,Manhole,0,8.00,7.10,1
493,411799.85,4320604.93,Manhole,0,8.00,7.10,1
