PipeID,UpNode,DownNode,UpBottomElev,DownBottomElev,Shape,Height,Width,HydrolicRadius,Length,Slope,DesignFlow,CapitalCost(CNY),HasPump
648,326,190,1.91,8.25,CIRC,0.45,0.45,0.11,391.80,-0.02,54,1614133,1
647,452,326,7.26,5.97,CIRC,0.20,0.20,0.05,337.30,0.00,6,38834,0
301,181,180,3.43,2.51,CIRC,0.40,0.40,0.10,611.99,0.00,44,222703,0
649,453,191,5.08,4.26,CIRC,0.30,0.30,0.07,368.66,0.00,21,89046,0
303,191,181,4.21,3.48,CIRC,0.35,0.35,0.09,361.65,0.00,35,103421,0
624,259,263,8.90,6.57,CIRC,0.20,0.20,0.05,607.88,0.00,4,46912,0
626,263,453,6.57,5.18,CIRC,0.20,0.20,0.05,363.66,0.00,13,64973,0
299,180,190,2.46,8.25,CIRC,0.45,0.45,0.11,320.17,0.00,52,1558300,1
633,261,452,8.50,7.26,CIRC,0.20,0.20,0.05,322.89,0.00,4,15944,0
484,265,264,4.10,3.42,CIRC,0.35,0.35,0.09,339.07,0.00,35,98749,0
483,266,265,4.65,4.15,CIRC,0.30,0.30,0.07,200.29,0.00,30,49221,0
631,264,260,3.37,2.45,CIRC,0.40,0.40,0.10,616.33,0.00,40,218706,0
630,260,326,2.45,1.96,CIRC,0.40,0.40,0.10,321.63,0.00,46,129309,0
474,460,262,7.90,6.85,CIRC,0.20,0.20,0.05,349.37,0.00,3,20872,0
682,339,329,7.90,6.85,CIRC,0.20,0.20,0.05,349.93,0.00,5,20921,0
641,257,329,7.90,6.87,CIRC,0.20,0.20,0.05,343.17,0.00,6,20340,0
640,329,262,6.75,6.02,CIRC,0.30,0.30,0.07,328.20,0.00,17,42812,0
642,262,266,6.02,4.65,CIRC,0.30,0.30,0.07,622.33,0.00,27,118263,0
650,328,327,8.50,7.20,CIRC,0.20,0.20,0.05,339.73,0.00,3,17324,0
651,327,191,7.20,5.71,CIRC,0.20,0.20,0.05,389.21,0.00,12,48265,0
300,190,179,8.10,7.51,CIRC,0.60,0.60,0.15,359.63,0.00,107,43880,0
402,225,226,8.50,7.16,CIRC,0.20,0.20,0.05,348.52,0.00,8,18068,0
466,254,246,4.50,3.91,CIRC,0.40,0.40,0.10,391.22,0.00,44,116082,0
491,273,254,5.92,4.55,CIRC,0.35,0.35,0.09,683.44,0.00,31,176672,0
605,250,274,10.00,8.51,CIRC,0.20,0.20,0.05,389.85,0.00,4,21765,0
527,274,273,8.51,6.07,CIRC,0.20,0.20,0.05,636.70,0.00,13,102449,0
602,249,273,9.20,8.03,CIRC,0.20,0.20,0.05,390.52,0.00,8,26549,0
448,246,226,3.91,2.84,CIRC,0.40,0.40,0.10,718.11,0.00,46,242267,0
388,226,9,2.74,8.90,CIRC,0.50,0.50,0.12,830.86,-0.01,60,1817865,1
12,9,421,8.90,8.06,CIRC,0.50,0.50,0.12,493.93,0.00,60,56812,0
7,4,3,4.31,3.10,CIRC,0.70,0.70,0.17,931.56,0.00,150,419570,0
5,2,7,8.45,7.39,CIRC,0.35,0.35,0.09,530.30,0.00,32,30180,0
6,7,4,5.02,4.31,CIRC,0.70,0.70,0.17,495.93,0.00,132,181009,0
41,21,22,8.50,7.31,CIRC,0.30,0.30,0.07,536.37,0.00,22,29569,0
163,22,109,7.21,6.42,CIRC,0.40,0.40,0.10,530.13,0.00,42,65017,0
266,109,7,6.22,5.12,CIRC,0.60,0.60,0.15,652.78,0.00,103,156985,0
136,37,50,3.78,2.57,CIRC,0.45,0.45,0.11,931.52,0.00,48,367975,0
135,49,36,9.20,5.63,CIRC,0.20,0.20,0.05,931.49,0.00,8,97317,0
58,36,37,5.53,3.93,CIRC,0.30,0.30,0.07,533.97,0.00,17,139994,0
164,50,109,2.52,6.32,CIRC,0.50,0.50,0.12,492.93,-0.01,63,1840076,1
